disease,symptoms,cures,doctor,risk level
acute appendicitis,"watery eyes,jaundice,red,loss of taste and smell,blurred vision","antibiotics for several months,laser therapy,surgery,antifungals","surgeon,hematologist",moderate (1%)
epilepsy ,"seizures,difficulty swallowing,throat,lead to vision loss","fluids,lifestyle management,diet changes",ophthalmologist,low (0.1%)
aflatoxicosis,"energy levels,the largest artery in the body,inflamed skin,chills,unexplained weight loss,restlessness,painful rash that follows nerve path","medications,lifestyle changes","endocrinologist,allergist",high (15%)
allergic rhinitis,"changes in appetite,withdrawal symptoms,restricted interests,rough growths on the skin","ice,inhaled corticosteroids,such as asthma",urologist,moderate (1%)
heart disease,"can make it difficult to breathe,painful rash that follows nerve path,difficulty urinating,change in bowel habits,high levels of cholesterol in the blood,watery eyes","blood transfusion,oxygen therapy",psychologist,low (0.1%)
diarrhea,"sensitivity to light and sound,blood in the urine,blood in the stool,cancer,which is small sac of fluid that cushions joints,jaundice","avoiding triggers,antimalarial drugs",surgeon,low (0.5%)
chronic kidney disease,"irregular heartbeat,keeping an erection,sexually transmitted infection that can cause blisters on the genitals,discharge from the vaginor penis,nausea","dietary changes,pain relievers",endocrinologist,moderate (1%)
dementia,"the largest artery in the body,red,swollen,nausea,blood in the urine,usually in the legs,from manito depression","surgery in severe cases,lifestyle management,allergy shots,antiviral drugs","psychiatrist,allergist",high (20%)
bronchitis,"hydrophobia,sneezing,constipation,inflamed skin,itchy,pain in the upper abdomen","pneumonia,antimalarial drugs,such as dehydration","doctor,dermatologist",high (15%)
celiac disease,"numbness,increased thirst,watery stools,memory loss,usually in the legs,painful rash that follows nerve path,rough growths on the skin","mental health counseling,rabies vaccine",nephrologist,moderate (1%)
meningitis,"fever,condition in which the heart cannot pump blood as well as it should,tremors,blisters,shortness of breath,vomiting,excessive thirst","treatment for asthmmay include medication,medication side effect,prescription medications,laser therapy","cardiologist,orthopedist",high (20%)
heart failure,"changes in appetite,sadness,such as diarrhea,muscle aches,other parts of the body,incontinence,sudden weakness","hormone therapy,prescription medications,radiation therapy",psychologist,moderate (1%)
flu,"weight loss,red,loss of interest in activities,swelling,stiffness in the joints,pain during sex,urgency to urinate","pneumonia,warm compresses,oxygen support,fluids",orthopedist,low (0.5%)
hepatitis,"pain in the lower back or side,coughing,coughing up blood,sensitivity to light","surgery in severe cases,fluids,such as asthma,but symptoms can be treated with rest",gynecologist,high (15%)
cervical cancer,"sadness,death,lump in the neck,swollen,persistent cough","emergency medical services,appendectomy","endocrinologist,surgeon",low (0.1%)
HIV/AIDS,"coordination,condition in which the heart cannot pump blood as well as it should,withdrawal symptoms,rough growths on the skin","treatment for the underlying cause,ice","cardiologist,pulmonologist",high (15%)
appendicitis,"difficulty thinking,throat,runny nose,which is an overactive thyroid,energy levels,vomiting","compression stockings,diet changes,emergency medical services","doctor,urologist",high (15%)
hypertension,"inflammation in the eye,unexplained bleeding or discharge,frequent urination,inflammation in the joints,coughing","antiviral drugs,pneumonia,treatment for eating disorders may include therapy,infection","cardiologist,rheumatologist",low (0.1%)
tonsillitis,"narrowing of the stool,coughing up blood,decreased kidney function","pain relievers,infection,appendectomy,diet changes",family doctor,low (0.5%)
aflatoxicosis,"coughing,discharge from the penis or vagina,unexplained weight loss,runny or stuffy nose,change in bowel habits","hormone therapy,there is no cure for asperger syndrome,exercise","endocrinologist,ophthalmologist",high (15%)
appendicitis,"sweating,blood in the sputum,pain in the upper right abdomen,excessive weight gain","compression,medication,such as dehydration","vascular surgeon,infectious disease specialist",low (0.1%)
anemia,"night sweats,sexually transmitted infection that can cause burning during urination,pain or burning when urinating","treatment for hepatitis may include medication,cryotherapy,antifungals,antimalarial drugs",addiction specialist,low (0.5%)
kidney stones,"sexually transmitted infection that can cause blisters on the genitals,discharge from the vaginor penis,chest tightness,blisters","appendectomy,cryotherapy",allergist,low (0.1%)
erectile dysfunction,"bloating,loss of taste and smell,warmth,painful urination,swollen lymph nodes,restricted interests","measles vaccine,treatment for asthmmay include medication,there is no cure for herpes","nephrologist,addiction specialist",low (0.5%)
gallstones,"swelling,which is an underactive thyroid,sexually transmitted infection that can cause blisters on the genitals,persistent cough,aerophobia,decreased range of motion,vomiting","there is no cure for dementia,diet changes,but symptoms can be treated with rest,treatment for ibs may include diet",psychiatrist,high (15%)
cholera,"changes in bowel,aerophobia,cough,emphysema,coughing up blood","antifungals,pneumonia","neurologist,gastroenterologist",moderate (1%)
chronic obstructive pulmonary disease (copd),"loss of taste and smell,extreme mood swings,incontinence","diet changes,prescription medications","neurologist,neurosurgeon",high (15%)
yeast infection,"anxiety that interfere with daily life,twisted veins,slow movement","compression,lifestyle changes","psychiatrist,family doctor",high (15%)
flu,"difficulty with social interaction,physical dependence on alcohol,difficulty getting,itching,such as diarrhea,discharge from the penis or vagina,warmth","fluids,appendectomy","allergist,ophthalmologist",high (15%)
aflatoxicosis,"excessive thirst,blood in the stool,withdrawal symptoms,excessive worry,itching,chills","elevation,rabies vaccine",cardiologist,high (15%)
cholera,"sexually transmitted infection that can cause blisters on the genitals,numbness on one side of the body,red eyes","blood transfusion,medication,physical therapy,surgery",urgent care,high (15%)
malaria,"widespread pain,hypothyroidism,frequent urination,fainting,trouble seeing in one eye","chemotherapy,but treatment may include supportive care,treatment for anxiety disorders may include therapy,but may include medication","endocrinologist,pulmonologist",low (0.5%)
chronic obstructive pulmonary disease (copd),"difficulty getting,repetitive behaviors,chest pain,twisted veins,chronic autoimmune disease that can affect any part of the body,red eyes,damage to the kidneys that can lead to kidney failure","emergency medical services,but treatment may include supportive care,radiation therapy","psychologist,family doctor",low (0.1%)
allergic rhinitis,"decreased kidney function,coughing,difficulty speaking,lead to vision loss","fluids,but may include medication,but symptoms can be treated with rest,antiviral drugs",orthopedist,high (15%)
cervical cancer,"high levels of cholesterol in the blood,changes in urination,unexplained heat intolerance,twisted veins,difficulty breathing,aerophobia,itching","an infection,mental health counseling,exercise",allergist,high (20%)
covid-19,"sexually transmitted infection that can cause burning during urination,hydrophobia,shortness of breath,coughing up blood,blood in the urine,tenderness","treatment for blood clot may include medication,treatment for anxiety disorders may include therapy,combination of both",pulmonologist,low (0.1%)
stroke,"loose,bloody stool,difficulty urinating,inflammation in bursa,pain","therapy,such as asthma,","doctor,gynecologist",low (0.1%)
bacterial meningitis,"sensitivity to light and sound,pale skin,trouble seeing in one eye,burning,swelling,increased pressure in the eye that can damage the optic nerve","IV fluids,such as dehydration,treatment for copd may include medication","urgent care,allergist",low (0.5%)
hashimoto's thyroiditis ,"erectile dysfunction,tolerance to alcohol,restlessness,discharge from the vaginor penis,anxiety that interfere with daily life","antimalarial drugs,there is no cure for alzheimer's disease,gluten-free diet","psychologist,psychiatrist",high (15%)
acute kidney injury (aki) ,"dizziness,sore throat,pain or burning when urinating,slow movement","chronic obstructive pulmonary disease (copd),treatment for ibs may include diet,iron supplements,laser therapy","pulmonologist,nutritionist",high (20%)
obesity,"headache, nausea, vomiting","therapy, surgery, exercise",neurologist,low (0.1%)
hypertension,"vomiting, weight loss, chest pain, headache",surgery,family doctor,low (0.5%)
allergy,"vomiting, sore throat, cough, runny nose, joint pain, blurred vision",antibiotics,dermatologist,high (15%)
asthma,"cough, nausea, fatigue, blurred vision, weight loss, chest pain","therapy, surgery",pulmonologist,high (15%)
diabetes,"cough, blurred vision, dizziness, weight loss","medications, surgery, antibiotics",dermatologist,high (20%)
obesity,"chest pain, nausea, shortness of breath",exercise,pulmonologist,high (15%)
arthritis,"skin rash, sore throat, vomiting, weight loss, blurred vision, fatigue","therapy, diet changes",dermatologist,low (0.1%)
hypertension,"cough, runny nose, blurred vision, fatigue, headache, vomiting","exercise, diet changes, surgery",family doctor,high (20%)
migraine,"headache, fever, fatigue, sore throat, vomiting","medications, rest, antibiotics",cardiologist,high (15%)
arthritis,"dizziness, skin rash, vomiting, sore throat","surgery, rest",family doctor,low (0.5%)
arthritis,"nausea, sore throat, cough, weight loss, shortness of breath","diet changes, antibiotics",family doctor,moderate (1%)
migraine,"sore throat, runny nose, weight loss, skin rash, dizziness, chest pain","antibiotics, medications",cardiologist,high (20%)
diabetes,"blurred vision, fever, cough, vomiting, fatigue, headache",medications,endocrinologist,moderate (1%)
obesity,"fever, shortness of breath, sore throat, vomiting","diet changes, hydration",cardiologist,high (15%)
hypertension,"cough, nausea, blurred vision, chest pain","surgery, rest, therapy",family doctor,low (0.1%)
allergy,"shortness of breath, cough, fever, weight loss","rest, diet changes, exercise",endocrinologist,high (20%)
allergy,"skin rash, weight loss, cough, vomiting, headache","exercise, antibiotics",endocrinologist,low (0.5%)
asthma,"cough, headache, joint pain, fatigue",surgery,pulmonologist,low (0.5%)
arthritis,"vomiting, skin rash, shortness of breath","diet changes, medications, rest",family doctor,moderate (1%)
hypertension,"runny nose, skin rash, sore throat, headache, fever, nausea",medications,family doctor,low (0.5%)
allergy,"headache, blurred vision, runny nose","hydration, antibiotics, surgery",dermatologist,low (0.1%)
diabetes,"shortness of breath, runny nose, skin rash, dizziness, headache","rest, hydration, medications",dermatologist,low (0.5%)
obesity,"cough, fever, nausea, shortness of breath, fatigue",diet changes,endocrinologist,high (15%)
allergy,"skin rash, shortness of breath, fever, runny nose, weight loss, blurred vision","antibiotics, surgery, hydration",pulmonologist,high (20%)
asthma,"vomiting, shortness of breath, headache","medications, antibiotics, diet changes",cardiologist,high (15%)
allergy,"joint pain, skin rash, vomiting","exercise, rest",family doctor,high (15%)
allergy,"sore throat, dizziness, chest pain, weight loss, shortness of breath, nausea","medications, rest, therapy",cardiologist,high (15%)
migraine,"sore throat, cough, skin rash, fatigue",hydration,pulmonologist,high (20%)
hypertension,"weight loss, skin rash, nausea, headache, cough","surgery, therapy, medications",dermatologist,low (0.1%)
allergy,"vomiting, dizziness, chest pain, fever","rest, hydration",endocrinologist,low (0.5%)
arthritis,"cough, dizziness, weight loss","surgery, diet changes, rest",pulmonologist,high (15%)
migraine,"skin rash, sore throat, runny nose, joint pain, fatigue",medications,cardiologist,moderate (1%)
common cold,"nausea, dizziness, skin rash, weight loss, headache",exercise,dermatologist,high (20%)
allergy,"fatigue, runny nose, skin rash, nausea, dizziness, weight loss","surgery, medications, exercise",neurologist,high (20%)
common cold,"weight loss, headache, fever","antibiotics, medications, hydration",family doctor,high (15%)
migraine,"fatigue, headache, sore throat, runny nose, blurred vision","diet changes, exercise, hydration",dermatologist,high (20%)
allergy,"joint pain, runny nose, blurred vision",hydration,cardiologist,moderate (1%)
allergy,"fatigue, chest pain, sore throat, headache, vomiting, skin rash","surgery, rest, diet changes",neurologist,high (15%)
obesity,"dizziness, cough, runny nose, fever, joint pain, skin rash",exercise,dermatologist,low (0.1%)
allergy,"shortness of breath, chest pain, runny nose, cough, headache","surgery, hydration",family doctor,moderate (1%)
common cold,"vomiting, skin rash, fever, weight loss",rest,cardiologist,moderate (1%)
arthritis,"blurred vision, sore throat, shortness of breath, fatigue, vomiting","diet changes, therapy",pulmonologist,moderate (1%)
allergy,"nausea, sore throat, fatigue","medications, surgery, therapy",dermatologist,moderate (1%)
arthritis,"cough, dizziness, weight loss, fatigue","medications, antibiotics",cardiologist,moderate (1%)
asthma,"blurred vision, chest pain, fever, joint pain, nausea",antibiotics,dermatologist,moderate (1%)
allergy,"joint pain, blurred vision, skin rash","hydration, surgery, diet changes",neurologist,high (15%)
arthritis,"chest pain, fever, fatigue, sore throat, skin rash, cough",hydration,neurologist,moderate (1%)
obesity,"fever, chest pain, runny nose, nausea","rest, hydration, medications",family doctor,moderate (1%)
migraine,"dizziness, runny nose, vomiting","hydration, surgery, therapy",pulmonologist,high (20%)
obesity,"joint pain, blurred vision, shortness of breath","medications, therapy",endocrinologist,high (15%)
diabetes,"dizziness, fatigue, runny nose, headache, nausea","diet changes, antibiotics, surgery",pulmonologist,moderate (1%)
asthma,"blurred vision, fever, fatigue, chest pain",rest,pulmonologist,low (0.1%)
asthma,"shortness of breath, nausea, skin rash","medications, therapy",cardiologist,moderate (1%)
common cold,"shortness of breath, cough, vomiting",exercise,neurologist,low (0.1%)
allergy,"nausea, joint pain, blurred vision, skin rash, sore throat, shortness of breath","surgery, medications",dermatologist,high (15%)
diabetes,"weight loss, chest pain, skin rash, fever, vomiting, runny nose","hydration, exercise, surgery",family doctor,low (0.5%)
hypertension,"joint pain, skin rash, shortness of breath, vomiting","diet changes, therapy",dermatologist,high (15%)
common cold,"sore throat, runny nose, headache","exercise, antibiotics",neurologist,moderate (1%)
common cold,"shortness of breath, joint pain, runny nose, blurred vision","therapy, antibiotics, rest",cardiologist,low (0.1%)
asthma,"headache, weight loss, cough, sore throat, skin rash, joint pain","therapy, rest, surgery",family doctor,low (0.5%)
allergy,"fever, dizziness, joint pain, headache","medications, diet changes, antibiotics",endocrinologist,high (20%)
diabetes,"fatigue, blurred vision, chest pain, dizziness",rest,neurologist,low (0.1%)
diabetes,"skin rash, headache, dizziness, sore throat, fever, shortness of breath","rest, diet changes",family doctor,low (0.5%)
asthma,"blurred vision, dizziness, runny nose, chest pain, fatigue",hydration,pulmonologist,moderate (1%)
common cold,"fever, nausea, fatigue, joint pain","medications, diet changes, antibiotics",endocrinologist,low (0.1%)
arthritis,"nausea, weight loss, sore throat, shortness of breath, joint pain","therapy, diet changes",pulmonologist,high (20%)
asthma,"skin rash, chest pain, headache","exercise, antibiotics, medications",cardiologist,low (0.1%)
asthma,"blurred vision, vomiting, fatigue, sore throat, nausea",therapy,cardiologist,low (0.5%)
common cold,"skin rash, chest pain, fever, sore throat, dizziness, shortness of breath","rest, medications",pulmonologist,low (0.5%)
migraine,"cough, fever, sore throat, fatigue, nausea","antibiotics, diet changes, hydration",family doctor,low (0.5%)
obesity,"sore throat, shortness of breath, nausea, fatigue, dizziness, skin rash",hydration,family doctor,low (0.1%)
diabetes,"fever, vomiting, runny nose, headache, dizziness, nausea","antibiotics, rest, exercise",endocrinologist,low (0.1%)
diabetes,"sore throat, joint pain, fever, chest pain, headache",rest,neurologist,high (20%)
hypertension,"joint pain, skin rash, cough, nausea, headache, vomiting",therapy,endocrinologist,high (20%)
allergy,"dizziness, runny nose, chest pain","therapy, hydration",endocrinologist,moderate (1%)
arthritis,"fever, shortness of breath, vomiting, chest pain, headache, dizziness","diet changes, surgery, hydration",family doctor,low (0.1%)
allergy,"joint pain, shortness of breath, skin rash, fever, fatigue",medications,family doctor,low (0.1%)
hypertension,"vomiting, fever, nausea, cough, sore throat",exercise,neurologist,moderate (1%)
migraine,"fatigue, cough, shortness of breath",surgery,pulmonologist,low (0.5%)
common cold,"headache, runny nose, chest pain, shortness of breath, blurred vision","rest, therapy",cardiologist,high (15%)
arthritis,"blurred vision, runny nose, fatigue","diet changes, rest, hydration",family doctor,low (0.1%)
obesity,"headache, nausea, fatigue, shortness of breath, skin rash, chest pain","therapy, diet changes",endocrinologist,moderate (1%)
allergy,"nausea, sore throat, shortness of breath, blurred vision, cough, weight loss","therapy, hydration, antibiotics",pulmonologist,low (0.1%)
allergy,"dizziness, blurred vision, nausea",diet changes,family doctor,low (0.1%)
allergy,"vomiting, joint pain, fever, sore throat, weight loss","exercise, medications",neurologist,high (20%)
asthma,"runny nose, blurred vision, dizziness, vomiting","medications, surgery, exercise",cardiologist,high (20%)
allergy,"vomiting, blurred vision, dizziness, runny nose, nausea, shortness of breath","rest, medications",dermatologist,low (0.1%)
diabetes,"shortness of breath, nausea, fatigue, cough","diet changes, surgery, exercise",cardiologist,high (15%)
hypertension,"skin rash, weight loss, shortness of breath, fever, cough",exercise,dermatologist,high (20%)
allergy,"weight loss, vomiting, chest pain, shortness of breath, sore throat, dizziness","hydration, rest, exercise",cardiologist,low (0.5%)
asthma,"blurred vision, cough, headache, sore throat","antibiotics, surgery, diet changes",neurologist,high (20%)
migraine,"blurred vision, vomiting, dizziness, weight loss, sore throat","exercise, hydration",endocrinologist,low (0.1%)
asthma,"chest pain, cough, skin rash, blurred vision, nausea",medications,family doctor,high (15%)
diabetes,"dizziness, vomiting, fatigue","antibiotics, hydration",pulmonologist,high (15%)
diabetes,"nausea, fever, joint pain, cough, blurred vision","rest, therapy",pulmonologist,moderate (1%)
diabetes,"nausea, fever, weight loss, chest pain",hydration,pulmonologist,high (20%)
obesity,"dizziness, sore throat, weight loss, shortness of breath",antibiotics,dermatologist,high (20%)
allergy,"joint pain, runny nose, weight loss, fever, sore throat, shortness of breath",rest,endocrinologist,moderate (1%)
arthritis,"vomiting, joint pain, nausea, shortness of breath, chest pain, cough",therapy,dermatologist,low (0.5%)
common cold,"dizziness, headache, skin rash","rest, antibiotics",pulmonologist,low (0.1%)
hypertension,"headache, shortness of breath, blurred vision, nausea",antibiotics,pulmonologist,high (15%)
allergy,"weight loss, fever, joint pain, vomiting",rest,dermatologist,high (20%)
hypertension,"fever, joint pain, weight loss, skin rash, shortness of breath",hydration,cardiologist,high (15%)
diabetes,"fatigue, headache, vomiting, blurred vision","therapy, exercise",cardiologist,low (0.5%)
migraine,"dizziness, fever, weight loss, nausea, runny nose, chest pain",rest,family doctor,high (15%)
hypertension,"blurred vision, cough, fever, skin rash, runny nose","therapy, medications, rest",pulmonologist,high (20%)
allergy,"vomiting, fever, dizziness, nausea, chest pain","antibiotics, hydration",pulmonologist,low (0.5%)
obesity,"fatigue, runny nose, joint pain, headache, blurred vision, dizziness","diet changes, medications",family doctor,low (0.1%)
common cold,"dizziness, sore throat, skin rash, cough, joint pain","diet changes, therapy, exercise",dermatologist,high (15%)
allergy,"vomiting, headache, nausea, weight loss, sore throat, runny nose","exercise, surgery",dermatologist,low (0.1%)
asthma,"joint pain, blurred vision, chest pain, fever, vomiting, runny nose","hydration, exercise, rest",dermatologist,high (15%)
migraine,"sore throat, skin rash, headache, cough",diet changes,family doctor,low (0.1%)
diabetes,"fatigue, joint pain, headache, cough","antibiotics, surgery, rest",neurologist,low (0.5%)
diabetes,"shortness of breath, sore throat, blurred vision, vomiting, joint pain, dizziness",hydration,pulmonologist,moderate (1%)
allergy,"headache, shortness of breath, blurred vision, chest pain, runny nose","antibiotics, rest, hydration",neurologist,high (20%)
allergy,"sore throat, skin rash, blurred vision, fever, shortness of breath, runny nose","exercise, hydration, surgery",family doctor,low (0.1%)
common cold,"fever, cough, skin rash, blurred vision","rest, hydration",family doctor,high (20%)
hypertension,"chest pain, cough, shortness of breath, runny nose, sore throat, weight loss","surgery, diet changes, rest",dermatologist,moderate (1%)
migraine,"blurred vision, chest pain, headache, joint pain, skin rash, weight loss",antibiotics,cardiologist,high (15%)
obesity,"cough, blurred vision, skin rash","medications, rest, hydration",endocrinologist,low (0.5%)
allergy,"fatigue, fever, skin rash, chest pain, joint pain, nausea","hydration, therapy",dermatologist,low (0.5%)
allergy,"sore throat, blurred vision, nausea","medications, rest, exercise",family doctor,high (15%)
migraine,"dizziness, chest pain, shortness of breath, runny nose","rest, hydration, medications",pulmonologist,moderate (1%)
hypertension,"blurred vision, dizziness, cough, headache, vomiting, skin rash",rest,dermatologist,high (15%)
arthritis,"weight loss, nausea, skin rash","therapy, diet changes",cardiologist,low (0.1%)
common cold,"dizziness, headache, fatigue, skin rash, vomiting, fever","antibiotics, hydration",dermatologist,high (15%)
hypertension,"vomiting, blurred vision, shortness of breath","diet changes, antibiotics, exercise",pulmonologist,high (20%)
arthritis,"dizziness, joint pain, skin rash",exercise,dermatologist,moderate (1%)
asthma,"skin rash, vomiting, joint pain, sore throat, chest pain, nausea",medications,pulmonologist,low (0.1%)
allergy,"shortness of breath, fever, weight loss","medications, therapy",dermatologist,high (15%)
allergy,"chest pain, nausea, fever, runny nose, joint pain, dizziness","surgery, rest, exercise",cardiologist,moderate (1%)
hypertension,"nausea, headache, joint pain","hydration, exercise, medications",neurologist,low (0.1%)
common cold,"dizziness, runny nose, chest pain, fever, sore throat",surgery,cardiologist,high (15%)
allergy,"runny nose, shortness of breath, fever, joint pain","rest, hydration",dermatologist,moderate (1%)
common cold,"blurred vision, vomiting, joint pain, fatigue","exercise, antibiotics",endocrinologist,moderate (1%)
asthma,"joint pain, cough, vomiting","medications, antibiotics, hydration",dermatologist,low (0.1%)
common cold,"fatigue, shortness of breath, chest pain, fever, nausea","antibiotics, diet changes, hydration",family doctor,moderate (1%)
hypertension,"vomiting, weight loss, headache","surgery, therapy, hydration",dermatologist,low (0.1%)
hypertension,"weight loss, vomiting, blurred vision, skin rash",medications,pulmonologist,moderate (1%)
asthma,"joint pain, nausea, sore throat, shortness of breath, fatigue, weight loss","diet changes, antibiotics",neurologist,low (0.5%)
asthma,"cough, nausea, sore throat, blurred vision, vomiting, shortness of breath","antibiotics, rest, hydration",endocrinologist,high (20%)
diabetes,"joint pain, headache, fatigue","diet changes, hydration",family doctor,moderate (1%)
arthritis,"chest pain, cough, blurred vision",hydration,cardiologist,moderate (1%)
allergy,"vomiting, headache, runny nose, weight loss","exercise, rest",family doctor,high (15%)
allergy,"skin rash, shortness of breath, headache, vomiting, weight loss, dizziness",therapy,cardiologist,low (0.5%)
allergy,"shortness of breath, headache, nausea, fever, skin rash, joint pain",therapy,neurologist,high (15%)
arthritis,"cough, fever, skin rash, joint pain, nausea, runny nose","therapy, hydration",endocrinologist,moderate (1%)
hypertension,"weight loss, chest pain, runny nose, blurred vision","exercise, therapy",family doctor,high (20%)
migraine,"vomiting, skin rash, nausea","hydration, diet changes, antibiotics",neurologist,low (0.1%)
obesity,"fever, nausea, headache, skin rash, runny nose, dizziness",hydration,family doctor,low (0.1%)
migraine,"joint pain, runny nose, sore throat, chest pain, nausea","antibiotics, surgery",dermatologist,moderate (1%)
allergy,"runny nose, weight loss, fatigue, skin rash, dizziness",antibiotics,dermatologist,low (0.1%)
diabetes,"skin rash, fatigue, headache",hydration,family doctor,low (0.1%)
migraine,"skin rash, nausea, weight loss, blurred vision","rest, surgery",endocrinologist,low (0.1%)
allergy,"joint pain, sore throat, fever, chest pain","rest, surgery",endocrinologist,high (20%)
obesity,"shortness of breath, joint pain, nausea, fatigue, blurred vision, runny nose","surgery, therapy, antibiotics",dermatologist,low (0.1%)
asthma,"skin rash, dizziness, shortness of breath, nausea","rest, surgery, therapy",pulmonologist,high (20%)
hypertension,"fever, headache, chest pain, weight loss, nausea, skin rash","antibiotics, rest",endocrinologist,high (20%)
asthma,"chest pain, blurred vision, sore throat, headache, runny nose, joint pain","diet changes, surgery, antibiotics",neurologist,high (15%)
allergy,"skin rash, chest pain, sore throat, weight loss","medications, surgery, rest",endocrinologist,moderate (1%)
obesity,"skin rash, sore throat, joint pain",antibiotics,family doctor,low (0.1%)
migraine,"weight loss, sore throat, skin rash","exercise, rest",pulmonologist,high (15%)
allergy,"nausea, skin rash, fever","exercise, medications, surgery",pulmonologist,high (20%)
common cold,"sore throat, fever, headache, joint pain",exercise,pulmonologist,moderate (1%)
hypertension,"dizziness, fever, joint pain, blurred vision",hydration,cardiologist,high (20%)
allergy,"sore throat, skin rash, vomiting, fever, dizziness, cough","exercise, medications",neurologist,moderate (1%)
allergy,"joint pain, skin rash, vomiting",diet changes,endocrinologist,low (0.5%)
obesity,"blurred vision, runny nose, shortness of breath, headache, nausea, fever",exercise,family doctor,low (0.5%)
diabetes,"shortness of breath, joint pain, fatigue, runny nose, cough","exercise, antibiotics, hydration",endocrinologist,low (0.1%)
common cold,"runny nose, weight loss, fatigue","rest, therapy",neurologist,moderate (1%)
hypertension,"chest pain, weight loss, sore throat, runny nose, dizziness","rest, therapy",pulmonologist,low (0.5%)
obesity,"vomiting, shortness of breath, skin rash",antibiotics,endocrinologist,low (0.5%)
migraine,"nausea, headache, fatigue, shortness of breath, vomiting, cough",medications,neurologist,high (15%)
migraine,"skin rash, runny nose, fever, cough","rest, therapy, hydration",pulmonologist,high (15%)
diabetes,"fever, shortness of breath, headache","exercise, therapy, diet changes",family doctor,low (0.1%)
asthma,"fever, chest pain, sore throat, headache","therapy, surgery, diet changes",family doctor,high (15%)
arthritis,"weight loss, fever, headache",diet changes,endocrinologist,moderate (1%)
obesity,"sore throat, nausea, dizziness, skin rash, shortness of breath",surgery,pulmonologist,high (15%)
diabetes,"sore throat, dizziness, shortness of breath, fatigue, blurred vision, joint pain","medications, exercise, diet changes",dermatologist,high (15%)
arthritis,"nausea, blurred vision, skin rash, sore throat","rest, diet changes",family doctor,low (0.5%)
asthma,"chest pain, nausea, vomiting, headache","medications, therapy, surgery",cardiologist,moderate (1%)
arthritis,"fatigue, weight loss, blurred vision, fever, dizziness","diet changes, therapy",pulmonologist,high (15%)
obesity,"weight loss, skin rash, blurred vision, nausea","surgery, antibiotics, diet changes",dermatologist,low (0.1%)
asthma,"chest pain, weight loss, sore throat","diet changes, rest, therapy",pulmonologist,low (0.5%)
allergy,"blurred vision, skin rash, headache, dizziness","exercise, medications, antibiotics",family doctor,low (0.5%)
migraine,"vomiting, blurred vision, sore throat, skin rash",antibiotics,dermatologist,low (0.5%)
common cold,"dizziness, runny nose, headache, vomiting","antibiotics, surgery",neurologist,moderate (1%)
obesity,"chest pain, sore throat, nausea, skin rash, runny nose, shortness of breath","surgery, hydration, medications",family doctor,moderate (1%)
obesity,"dizziness, sore throat, shortness of breath","hydration, medications, exercise",endocrinologist,moderate (1%)
common cold,"nausea, runny nose, weight loss, vomiting","medications, rest",cardiologist,high (15%)
common cold,"sore throat, blurred vision, fatigue",medications,family doctor,low (0.5%)
hypertension,"weight loss, cough, fatigue, skin rash, dizziness","medications, diet changes, surgery",pulmonologist,moderate (1%)
common cold,"sore throat, fever, fatigue",hydration,family doctor,low (0.1%)
asthma,"cough, blurred vision, headache","antibiotics, surgery, medications",pulmonologist,high (20%)
migraine,"joint pain, shortness of breath, cough","medications, hydration",pulmonologist,moderate (1%)
hypertension,"vomiting, weight loss, fever, dizziness, runny nose, headache",therapy,neurologist,high (15%)
diabetes,"skin rash, fever, weight loss, nausea, sore throat, runny nose","antibiotics, medications",family doctor,high (15%)
arthritis,"headache, skin rash, runny nose, fatigue, vomiting",rest,endocrinologist,high (15%)
allergy,"vomiting, runny nose, headache, joint pain",exercise,endocrinologist,high (15%)
asthma,"sore throat, fatigue, skin rash","diet changes, antibiotics",family doctor,moderate (1%)
asthma,"sore throat, headache, shortness of breath, runny nose, joint pain","hydration, antibiotics",neurologist,low (0.5%)
allergy,"cough, fever, shortness of breath, runny nose, headache",therapy,pulmonologist,high (20%)
asthma,"chest pain, runny nose, cough, joint pain, weight loss, sore throat","hydration, exercise",endocrinologist,high (15%)
migraine,"chest pain, weight loss, nausea","therapy, hydration",neurologist,low (0.1%)
common cold,"dizziness, headache, vomiting, runny nose, fever, nausea","medications, rest",cardiologist,low (0.5%)
obesity,"headache, nausea, joint pain, fever","antibiotics, hydration, surgery",cardiologist,high (20%)
hypertension,"skin rash, weight loss, headache","exercise, antibiotics",family doctor,low (0.1%)
common cold,"joint pain, shortness of breath, weight loss, dizziness, chest pain",rest,family doctor,moderate (1%)
diabetes,"shortness of breath, fatigue, vomiting, runny nose, dizziness","exercise, therapy",family doctor,low (0.1%)
obesity,"weight loss, joint pain, blurred vision, dizziness","exercise, rest, surgery",family doctor,low (0.5%)
hypertension,"joint pain, dizziness, runny nose, blurred vision, fever","rest, hydration",endocrinologist,low (0.5%)
allergy,"weight loss, skin rash, shortness of breath, fatigue, dizziness, blurred vision","hydration, therapy",cardiologist,moderate (1%)
migraine,"vomiting, runny nose, nausea, headache","rest, therapy",family doctor,low (0.5%)
common cold,"fatigue, runny nose, blurred vision, headache, vomiting, cough","surgery, medications, exercise",dermatologist,moderate (1%)
allergy,"joint pain, cough, dizziness, vomiting, shortness of breath",antibiotics,family doctor,high (15%)
allergy,"chest pain, blurred vision, headache, skin rash",medications,endocrinologist,low (0.1%)
migraine,"fever, blurred vision, chest pain","medications, diet changes",dermatologist,moderate (1%)
